Identifier	Character	Dialogue	Filename	Line Number
scene1_21112d18		Tuesday. The most accursed day of the week.	game/scripts/parsed_01 scene1.rpy	4
scene1_1f451060		The foolish, unenlightened masses regularly assume that Monday is the worst out their lot - but Tuesday is where the true despair begins.	game/scripts/parsed_01 scene1.rpy	5
scene1_f351901a		They convince themselves that things won't be so bad, but as soon as Tuesday comes, they realize there is no escape.	game/scripts/parsed_01 scene1.rpy	6
scene1_fa399885		They have already become slaves to another mundane moment of existence - and it is too late to break away when they finally realize their mistake.	game/scripts/parsed_01 scene1.rpy	7
scene1_5c53c51c		And the only thing they can do to keep themselves from succumbing to insanity is to bear the weight of their burden until the week is over.	game/scripts/parsed_01 scene1.rpy	8
scene1_b747e523		Yes, Tuesday is the one day of the week where human anguish and misery reach their absolute peak…	game/scripts/parsed_01 scene1.rpy	9
scene1_7d335373		...Which makes things perfect for me.	game/scripts/parsed_01 scene1.rpy	10
scene1_de4b4347		But who am I, you ask?	game/scripts/parsed_01 scene1.rpy	11
scene1_9c55f978	pro	Come now, have you truly forgotten me?	game/scripts/parsed_01 scene1.rpy	18
scene1_c3b493b7	pro	You may have no idea who I am, but I know the faces of all the pathetic mortals in this realm.	game/scripts/parsed_01 scene1.rpy	21
scene1_cd9b64c9	pro	But just for your sake, I suppose it’s best to tell you...	game/scripts/parsed_01 scene1.rpy	24
scene1_24d873a8	pro	Like an errant lightning bolt from the heavens cast down onto the Earth, I appear to set the world ablaze!	game/scripts/parsed_01 scene1.rpy	30
scene1_2098d770	pro	I am an existence unparalleled by any before me! I am a true being of ultimate power - a god amongst men!	game/scripts/parsed_01 scene1.rpy	33
scene1_f87de554	pro	You stand in the presence of Sebastian Wolfgang IV, the Chaotic Lord of Thunder, the one that will bring this world to its--	game/scripts/parsed_01 scene1.rpy	36
scene1_29ce3c33		*BANG! BANG! BANG!*	game/scripts/parsed_01 scene1.rpy	44
scene1_05ee5222	pro	H-Huh!?	game/scripts/parsed_01 scene1.rpy	47
scene1_ff17dc43	sis	Hey, keep it down in there! I'm trying to study!	game/scripts/parsed_01 scene1.rpy	50
scene1_52ae5502	pro	G-Go away, Yumi! I'm in the middle of something important right now!	game/scripts/parsed_01 scene1.rpy	53
scene1_6822957e	sis	Don't gimme that, Makoto. You're just in there talking to yourself, aren't you?	game/scripts/parsed_01 scene1.rpy	56
scene1_0a04d58a	pro	M-My name isn’t Makoto! Not anymore…	game/scripts/parsed_01 scene1.rpy	60
scene1_60e20484	sis	Come on, you’re in high school now. Do you really have the time for this nonsense right now?	game/scripts/parsed_01 scene1.rpy	63
scene1_56e1e108	pro	Look, I-I’ll be done in here soon, j-just gimme a few more minutes, alright!?	game/scripts/parsed_01 scene1.rpy	67
scene1_e3b5768b	sis	*sigh* Whatever. Just try to wrap up whatever you're doing soon, okay?	game/scripts/parsed_01 scene1.rpy	70
scene1_d659935c		I could hear that vile person’s steps as she walked away.	game/scripts/parsed_01 scene1.rpy	74
scene1_b0099360	pro	Okay...	game/scripts/parsed_01 scene1.rpy	79
scene1_b7319fc7		Damn it, my concentration is all messed up! Who does she think she is, interrupting a demon lord in the middle of his monologue!?	game/scripts/parsed_01 scene1.rpy	81
scene1_d3fd03a1		Now I gotta get back into character and recount my spiel all over again. Alright, from the top…	game/scripts/parsed_01 scene1.rpy	82
scene1_3749d8ae		Tuesday: a day fraught with disaster and despair.	game/scripts/parsed_01 scene1.rpy	89
scene1_36605670		Wait, that doesn’t sound right…	game/scripts/parsed_01 scene1.rpy	90
scene1_f6b46716		Tuesday: a mediocre day in a mediocre existence that highlights our mundane mediocrity for all to see.	game/scripts/parsed_01 scene1.rpy	91
scene1_909ba1ac		Ugh, no, that sounds stupid. Too much alliteration, maybe?	game/scripts/parsed_01 scene1.rpy	92
scene1_4329eae0		What did I even say the first time…?	game/scripts/parsed_01 scene1.rpy	93
scene1_a05d3098		...You know what, forget it! Let's just continue from where I left off.	game/scripts/parsed_01 scene1.rpy	94
scene1_a460f95e	pro	Yes, it is I, Sebastian Wolfgang IV, all powerful commander of demons and ultimate terror!	game/scripts/parsed_01 scene1.rpy	100
scene1_02a938ef	pro	Now that you know who I am and what I am capable of, I can see the fear trickling down your face like the blood from a fresh wound.	game/scripts/parsed_01 scene1.rpy	103
scene1_00df1c67	pro	But fear not, my dear; I shall not consume your soul and erase you from existence quite yet.	game/scripts/parsed_01 scene1.rpy	106
scene1_89c7f501	pro	No, I will instead make you watch as I finally unleash my full power onto the world and bring it to its knees!	game/scripts/parsed_01 scene1.rpy	109
scene1_231a12a8	pro	For you see, I have been preparing for a day like this for a long time - and now I shall attempt what no other mortal has dared attempt before…	game/scripts/parsed_01 scene1.rpy	112
scene1_5bfe2a41	pro	Yes, I shall perform a demon summoning!	game/scripts/parsed_01 scene1.rpy	118
scene1_2ad0077a	pro	You were a fool to think you could challenge my authority and claim my powers to be false - or worse, mere make-believe!	game/scripts/parsed_01 scene1.rpy	121
scene1_ffcb39ee	pro	But little do you realize that I have now finished all my preparations, and I shall begin my incantations on this very night!	game/scripts/parsed_01 scene1.rpy	124
scene1_0ae0825b	pro	In just a few short Earth hours, I will call forth a demon of unimaginable power who will obey my every command without hesitation!	game/scripts/parsed_01 scene1.rpy	127
scene1_03860d9e	pro	And once they are in this world, I will use their power to create a new world order. All of the insignificant insects shall bow before me, or burn!	game/scripts/parsed_01 scene1.rpy	130
scene1_7b4e34dc	pro	Not even you - o’ degenerate fool that you are - will realize what a mistake you’ve made when you have seen the error of your ways and finally recognized my awesome power!	game/scripts/parsed_01 scene1.rpy	133
scene1_6c30365a	pro	After I bring the world to ruin, I’ll crush you in an instant and watch your blood taint the rivers!	game/scripts/parsed_01 scene1.rpy	136
scene1_6dc30ddd	pro	And atop your mangled corpse, I will {b}rule over all of creation!{/b}	game/scripts/parsed_01 scene1.rpy	139
scene1_40b831e7	pro	Hahahaha… {i}{b}Aaaahahahahaha!!!{/b}{/i}	game/scripts/parsed_01 scene1.rpy	142
scene1_29ce3c33_1		*BANG! BANG! BANG!*	game/scripts/parsed_01 scene1.rpy	149
scene1_a1f115b8	sis	Alright, you had your fun already, Mr. Demon Lord. Come on out.	game/scripts/parsed_01 scene1.rpy	152
scene1_7d1d1650	pro	...	game/scripts/parsed_01 scene1.rpy	156
scene1_170b6153		Way to kill the mood…	game/scripts/parsed_01 scene1.rpy	158
scene1_9ff1cca7		My attempt to escape this mundane existence was over as soon as it started.	game/scripts/parsed_01 scene1.rpy	164
scene1_49a5e9af		In an instant, I’ve gone from Sebastian Wolfgang IV, a thousand year-old practitioner of the dark arts…	game/scripts/parsed_01 scene1.rpy	165
scene1_a3eaef43		...back to Makoto Takaya - a boring, normal high schooler with absolutely nothing special about him.	game/scripts/parsed_01 scene1.rpy	166
scene1_78b680ed		It’s frustrating, but not completely unexpected. I’ve grown used to having my fantasies dashed time and again.	game/scripts/parsed_01 scene1.rpy	167
scene1_7e2f23dd		But every time I get dragged back into reality, it's a reminder of how bothersome it is.	game/scripts/parsed_01 scene1.rpy	168
scene1_4a7a97ce		And the most bothersome force at that moment just so happened to be…	game/scripts/parsed_01 scene1.rpy	169
scene1_5ace1f25		...My sister, Yumi.	game/scripts/parsed_01 scene1.rpy	174
scene1_754f745a		She usually knows her place and leaves me to my own devices, but every once in awhile she comes along to take the wind out of my sails.	game/scripts/parsed_01 scene1.rpy	175
scene1_0a731290		If I could be considered a raging wildfire consuming all in my path, then she could be likened to a rainstorm that quells those flames.	game/scripts/parsed_01 scene1.rpy	176
scene1_ae0dd1c8		In other words, she's a complete nuisance.	game/scripts/parsed_01 scene1.rpy	177
scene1_1b5a0a3b	sis	Don't look at me like that. I just wanna know what you were doing in there.	game/scripts/parsed_01 scene1.rpy	181
scene1_9cb3b9c6		Was that all? Come now, dear sister, are you sure you weren't going to relay my tactics to any enemy spies?	game/scripts/parsed_01 scene1.rpy	184
scene1_3beb2e12		That's just like her, prying into a dark overlord’s business. Well, I suppose I can overlook this slight - just this once…	game/scripts/parsed_01 scene1.rpy	185
scene1_762ee2e3		...Especially considering I’m actually in a good mood today.	game/scripts/parsed_01 scene1.rpy	186
scene1_1e219641	pro	Heh. If you must know, o’ sibling of flesh and blood, I was busy preparing myself.	game/scripts/parsed_01 scene1.rpy	189
scene1_89ed7a14	pro	Surely even you understand what that means by now, right?	game/scripts/parsed_01 scene1.rpy	192
scene1_e5bb4976	sis	You mean you were letting the whole neighborhood know what a dork you are?	game/scripts/parsed_01 scene1.rpy	197
scene1_cb23ab96	pro	D-Dork!?	game/scripts/parsed_01 scene1.rpy	202
